a_LINK_ID,b_LINK_ID,a_T_NODE,theta,nx,ny,target
1020010801,1020009601,1020003102,90.07484589851656,199470.4703399968,548327.6838576006,서울 이태원동
1020035801,1020037301,1020021402,105.51020540594828,199619.05127234408,548167.5828231969,서울 이태원동
1020008701,1020009502,1020020004,96.30426160458013,199555.97672880304,548008.4305900375,서울 이태원동
1020045505,1020041800,1020026204,103.27117176386355,199582.45405571064,548535.9637676614,서울 이태원동
1020007603,1020035001,1020018104,92.68694129691093,199708.98794235956,547885.1462826917,서울 이태원동
1020032201,1020007203,1020016601,90.27823730385342,199244.19460000927,547772.9720998771,서울 이태원동
1020035000,1020007602,1020018104,126.40149250933436,199708.98794235956,547885.1462826917,서울 이태원동
1020039802,1020011202,1020024202,96.66038289494159,199617.51641549767,548340.3100889724,서울 이태원동
1020035102,1020035802,1020019601,101.19791470974451,199709.1155602387,547996.7207453378,서울 이태원동
1020009604,1020011201,1020003102,97.90675810704182,199470.4703399968,548327.6838576006,서울 이태원동
1020011204,1020010006,1020025302,92.96353192629586,199896.42006282997,548416.4219853985,서울 이태원동
1020011203,1020039801,1020024202,100.165781085928,199617.51641549767,548340.3100889724,서울 이태원동
1020037300,1020035800,1020021402,107.15591779610862,199619.05127234408,548167.5828231969,서울 이태원동
1020009501,1020010801,1020003103,90.09855332700751,199458.39642700285,548326.658323471,서울 이태원동
1020041802,1020011101,1020024204,105.25107231355561,199601.98877727424,548351.0723837436,서울 이태원동
1020009906,1020011204,1020025303,94.7828584974219,199887.426720792,548407.9641088456,서울 이태원동
1020045601,1020044201,1020026201,98.25162176798406,199593.12859376462,548542.6488550847,서울 이태원동
1020011104,1020041801,1020024204,101.80503717513777,199601.98877727424,548351.0723837436,서울 이태원동
1020044201,1020045501,1020026204,94.41176925899406,199582.45405571064,548535.9637676614,서울 이태원동
1020052500,1020013601,1020025302,120.31492795743297,199896.42006282997,548416.4219853985,서울 이태원동
1020010004,1020013601,1020025302,100.6280448801689,199896.42006282997,548416.4219853985,서울 이태원동
1020009502,1020008801,1020020003,104.88569783592223,199561.68265970112,547996.5980092945,서울 이태원동
1020007202,1020032200,1020016601,157.53210382867834,199244.19460000927,547772.9720998771,서울 이태원동
1020009503,1020008700,1020020004,107.70417617696944,199555.97672880304,548008.4305900375,서울 이태원동
1020035701,1020039701,1020021404,104.35260727532877,199603.61136442612,548179.8255414248,서울 이태원동
1020035702,1020035102,1020019602,100.03093526615456,199712.6705659948,547985.2401972017,서울 이태원동
1020035101,1020007603,1020018101,101.81726748006932,199721.12409937897,547875.5680370507,서울 이태원동
1320029301,1300009603,1300002806,90.00002337317589,385879.3996378565,281393.1730656103,부산 초량동
1320005100,1320005900,1320002401,119.86898171208756,385782.2467476291,282068.4882522799,부산 초량동
1300009102,1300010900,1300003204,120.88629066139625,385378.0515675782,281481.6751852582,부산 초량동
1320029102,1320029700,1320010001,91.110224286062,385950.29430190724,281560.1025679673,부산 초량동
1300009301,1320031901,1300003504,114.4030210701233,385346.52654142847,281754.9221366312,부산 초량동
1300009401,1300011101,1300003502,115.0609977484458,385344.47305141966,281734.0441722664,부산 초량동
1320004701,1320005101,1320002401,129.7497846413803,385782.2467476291,282068.4882522799,부산 초량동
1320031501,1300010101,1300003103,110.14862359873882,385604.953400819,281419.1013600606,부산 초량동
1300012100,1300013801,1320000113,106.87651736687387,385814.6924297729,281413.85440051777,부산 초량동
1320004501,1320004901,1320002201,90.94648962763836,385851.6543283125,282043.9478517102,부산 초량동
1320031405,1320004000,1320002103,150.7776146458966,385798.30762644764,281908.00766046986,부산 초량동
1320029000,1320029300,1320010003,90.23361563148876,385935.00068957417,281552.5178832497,부산 초량동
1300010602,1320031400,1300003101,109.17287326572033,385621.4752888693,281432.21715900913,부산 초량동
1320005401,1320005201,1320002203,91.35433679026751,385836.0787766933,282036.09387214994,부산 초량동
1320004600,1320004700,1320002101,147.1830836338837,385802.2490447948,281947.62561343267,부산 초량동
1320029802,1320029002,1320010003,90.66470924960073,385935.00068957417,281552.5178832497,부산 초량동
1320029402,1320029101,1320010001,90.67487749277012,385950.29430190724,281560.1025679673,부산 초량동
1300009603,1320029401,1300002805,90.00002544161565,385890.66460712336,281389.0335524132,부산 초량동
1300010001,1300008701,1300002902,104.80940501215079,385488.99372195423,281414.1780367895,부산 초량동
1320028800,1320029800,1320009803,90.92068704982175,385985.54333297565,281700.5309713307,부산 초량동
1320000107,1300012101,1320000113,101.69862063814138,385814.6924297729,281413.85440051777,부산 초량동
1300013501,1300013601,1300004103,91.41028775360459,385781.92587122845,281257.18863037316,부산 초량동
1300009801,1300008802,1300002904,114.49059082628281,385477.10202755086,281431.902699376,부산 초량동
1320000203,1320029000,1320000104,90.141169924909,385879.0624751468,281571.6032714433,부산 초량동
1320004904,1320005300,1320002201,91.3734691895264,385851.6543283125,282043.9478517102,부산 초량동
1320028700,1320000202,1320000107,90.77339074189402,385932.744943526,281730.2211532144,부산 초량동
1320031604,1320004800,1320002403,146.32094877896012,385772.25845769607,282041.4863893738,부산 초량동
1320003901,1320004601,1320002101,143.98379597939288,385802.2490447948,281947.62561343267,부산 초량동
