LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_NAME,p3,lanes,len,fx,fy,lx,ly,R_link,mx,my,f1,x,y
1860180903,1866113600,1860007104,1,104,대금로,186,1,307.9694374814865,-13.717235346353846,-4.31494736118475,-39.74005155111081,-72.41792979330057,17.19076601379361,234822.10809189765,430634.04285878385,85.16392460519782,234822.10809189765,430634.04285878385
1860609400,1860043813,1865939503,1,104,엑스포로446번길,186,1,49.804570131854064,4.879032089404063,-1.8804494313662872,20.43752498185495,-3.1953101830440573,99.94398213480018,236359.76409644587,422057.3091696241,111.55970741881492,236359.76409644587,422057.3091696241
1850321700,1850103101,1850103004,1,104,구봉로131번길,185,1,214.4402764589289,-1.1606327740009874,43.22108903172193,0.14148876699618995,-40.56459398858715,13.545163087973158,230313.45691638708,411175.5683054839,89.53821299804281,230313.45691638708,411175.5683054839
1830056204,1840363300,1840019601,1,104,하상도로,183,1,479.35662901961865,7.417154615861364,-12.327833097835537,-4.8861939003109,-11.893043051764835,23.139642937043703,239314.47712269233,413415.876945023,143.95895700792144,239314.47712269233,413415.876945023
1870486200,1870005403,1870310300,1,104,대전천북로,187,1,51.744308195712655,9.110932955314638,-19.080285486532375,8.430991376779275,-29.41599286335986,67.86130302047887,237061.67202921084,416546.13114631217,104.07059903276217,237061.67202921084,416546.13114631217
1850058908,1850415100,1850337100,1,104,괴정로,185,1,49.34362910321288,1.2099592796294019,-1.211586948193144,33.87778938689735,-33.481930151057895,8917.757211945827,235100.8765150539,415056.42502839875,0.0,235100.8765150539,415056.42502839875
1860336707,1866301500,1866336600,1,104,박산로,186,1,94.25110304087194,-15.519007191905985,3.782442054245621,-17.521754168876214,3.8270415028673597,324.56453114109775,228786.13732651153,417311.10414972494,0.0,228786.13732651153,417311.10414972494
1870489402,1870230500,1870287600,2,104,비래동로,187,2,77.88979317206103,-1.4981862023705617,-3.4098201419692487,-15.859958661079872,-36.0684170408058,92923.97597757926,240422.5672664353,417681.3100589434,0.0,240422.5672664353,417681.3100589434
1830037004,1830224400,1830360200,1,104,동대전로248번길,183,1,94.54967262720204,-2.4656233758141752,-1.4205295111169107,-79.12489456890034,-46.35618213284761,4832.497103324729,240474.849364403,416441.6586736884,0.0,240474.849364403,416441.6586736884
1830020004,1830373300,1830008003,2,104,계족로140번길,183,2,153.26437343072456,1.3194313770509325,0.5924392101587728,27.983322116924683,11.98784550849814,91.97074263265347,240276.24264536984,414357.9268031493,37.62397620740013,240276.24264536984,414357.9268031493
1840044407,1840271100,1840014005,2,104,태평로,184,2,109.5558543350114,-8.597854931314941,-23.453840353467967,-31.133586180425482,-78.63686717592645,777.921788789673,235467.1665343751,414331.0698865884,88.7423543130726,235467.1665343751,414331.0698865884
1830054304,1830540000,1830536700,1,104,옥천로653번길,183,1,359.967786827866,-105.15999867385835,-47.44025325233815,-1.961530321277678,-10.52720105345361,30.603472001633154,243875.46398417646,416919.79712609923,8.537736462515939e-07,243875.46398417646,416919.79712609923
1850058600,1850020404,1850386500,2,104,유등로,185,2,94.91135374946884,-40.45962838284322,-40.415160286589526,-26.641202188446186,-26.70887768891407,7651.846659445204,235423.44201309734,415061.2413412988,89.58198069858332,235423.44201309734,415061.2413412988
1840191300,1840006713,1840096800,1,104,유등천동로,184,1,100.63467286232758,-1.2949673711846117,-2.1137470886460505,-51.97747860112577,-83.26404116745107,4804.378055182593,234467.3341443851,412109.9942529601,0.07762221737401011,234467.3341443851,412109.9942529601
1840033900,1840011704,1840116200,2,104,평촌로,184,2,138.07003726683791,-3.706890078872675,-1.5963700755382888,-1.7779588055273052,-0.780430392595008,121.39852844115462,235498.77346563656,413841.95101984194,82.64126525120537,235498.77346563656,413841.95101984194
