정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
DJB8002573,신흥마을아파트,36.321133,127.44586,2025-10-31,10600,25,대전광역시,대전BIS
DJB8002574,제이파크아파트,36.303707,127.31873,2025-10-31,40140,25,대전광역시,대전BIS
DJB8002575,제이파크아파트,36.30404,127.319435,2025-10-31,40090,25,대전광역시,대전BIS
DJB8002577,펜타플렉스,36.369827,127.40714,2025-10-31,50450,25,대전광역시,대전BIS
DJB8002578,제일사료,36.36971,127.40622,2025-10-31,50420,25,대전광역시,대전BIS
DJB8002579,유천초등학교,36.314137,127.37386,2025-10-31,30560,25,대전광역시,대전BIS
DJB8002580,삼육중학교입구,36.311806,127.3745,2025-10-31,30620,25,대전광역시,대전BIS
DJB8002581,도마2동주민센터,36.312424,127.37409,2025-10-31,30600,25,대전광역시,대전BIS
DJB8002582,도마중학교,36.319347,127.37298,2025-10-31,30500,25,대전광역시,대전BIS
DJB8002583,도마중학교,36.319187,127.37411,2025-10-31,30610,25,대전광역시,대전BIS
DJB8002584,용화5길입구,36.319363,127.37585,2025-10-31,30630,25,대전광역시,대전BIS
DJB8002585,대전지방조달청,36.32009,127.37049,2025-10-31,30440,25,대전광역시,대전BIS
DJB8002586,조동1리,36.222614,127.295296,2025-10-31,72260,25,대전광역시,대전BIS
DJB8002587,주산동/상촌,36.356556,127.47801,2025-10-31,12810,25,대전광역시,대전BIS
DJB8002588,주산동/상촌,36.356647,127.47798,2025-10-31,12800,25,대전광역시,대전BIS
DJB8002589,주유소,36.359062,127.30973,2025-10-31,41420,25,대전광역시,대전BIS
DJB8002590,주촌1구,36.39872,127.534134,2025-10-31,13380,25,대전광역시,대전BIS
DJB8002591,주촌1구,36.398964,127.533936,2025-10-31,13370,25,대전광역시,대전BIS
DJB8002592,주촌2구,36.415596,127.53761,2025-10-31,13340,25,대전광역시,대전BIS
DJB8002593,주촌2구,36.415653,127.53734,2025-10-31,13330,25,대전광역시,대전BIS
DJB8002594,주촌동,36.396904,127.5319,2025-10-31,13360,25,대전광역시,대전BIS
DJB8002595,주촌동,36.397038,127.53184,2025-10-31,13350,25,대전광역시,대전BIS
DJB8002596,죽동네거리,36.366,127.33288,2025-10-31,42000,25,대전광역시,대전BIS
DJB8002597,죽동네거리,36.366863,127.33159,2025-10-31,41990,25,대전광역시,대전BIS
