구간,n,보완 전 판정 가능,보완 후 판정 가능(SAM),보완 후 %,증가,보완 후에도 FAIL_CLOSED,참고: 기하(G) 판정 가능(합산 안 함)
검증셋 11조각,11,0,9,81.8,9,2,8
대전 진입곤란 26개소 조각,37,0,29,78.4,29,8,23
대전 진입곤란 26개소 개소,26,0,22,,22,4,

"※ 016 §6 적용: SAM 이 골목 노면을 못 잡음(검증셋 대조 가능 8 중 차이 7) → 위 SAM 판정 가능 수치는 기록 보존용, AI 보완 효과로 쓰지 않음"
구간,n,보완 전 판정 가능,AI 보완 후 판정 가능,증가,보완 후에도 FAIL_CLOSED,"기하(G, AI 아님) 판정 가능",G 후에도 FAIL_CLOSED
검증셋 11조각,11,0,0,0,11,8,3
26개소 조각 37,37,0,0,0,37,23,14
26개소 개소,26,0,0,0,26,19,7
