조각,도로명,링크길이 L(m),최종채택 W(m),판정(폭 축),분리방식(폭 축),보행 통과시간 T_ped(s),긴급+보행 동시통행,긴급+일반 동시통행,보행 선행 시 긴급차량 대기(s),속도근거,폭근거,근거등급
대전로1397번길 50,대전로1397번길,9.1,2.80,CONDITIONAL_C,시간,9.1,불가,불가,9.1,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
청자마을길 28,청자마을길,55.6,2.98,CONDITIONAL_C,시간,55.6,불가,불가,55.6,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
동심9길,동심9길,61.3,1.46,BLOCKED,통과불가,61.3,불가,불가,61.3,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
늘봄2길,늘봄2길,73.7,4.00,폭축_통과후보,공간,73.7,가능,불가,0.0,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
동춘당로31번길,동춘당로31번길,81.8,3.00,CONDITIONAL_C,시간,81.8,불가,불가,81.8,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
도솔로175번길,도솔로175번길,58.1,4.53,폭축_통과후보,공간,58.1,가능,가능,0.0,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
변정1길,변정1길,65.1,4.04,폭축_통과후보,공간,65.1,가능,불가,0.0,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
변정7길,변정7길,26.0,2.99,CONDITIONAL_C,시간,26.0,불가,불가,26.0,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
당디로124번길,당디로124번길,36.4,5.76,폭축_통과후보,공간,36.4,가능,가능,0.0,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
충무로68번길,충무로68번길,46.2,3.52,폭축_통과후보,시간,46.2,불가,불가,46.2,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
보문산공원로530번길,보문산공원로530번길,14.4,3.97,폭축_통과후보,공간,14.4,가능,불가,0.0,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
대둔산로414번길,대둔산로414번길,135.2,3.50,CONDITIONAL_C,시간,135.2,불가,불가,135.2,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
보문산로122번길,보문산로122번길,4.6,3.74,폭축_통과후보,공간,4.6,가능,불가,0.0,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
대둔산로386번길,대둔산로386번길,20.8,1.99,BLOCKED,시간,20.8,불가,불가,20.8,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
계백로1158번길,계백로1158번길,160.0,6.02,폭축_통과후보,공간,160.0,가능,가능,0.0,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
